# AlifeAmbience file audit - every file checked with ffprobe (rate/channels/duration) + ffmpeg astats (peak dB)
# run start: 2026-08-06 05:40:23
checked_at	set	taken	path	rate	channels	dur_s	peak_dB	verdict
05:40:26	DEPLOYED	YES	gamedata/sounds/zs/aa_branch_med/7.ogg	44100	2	2.293311	-25.942017	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_branch_med/8.ogg	44100	2	1.031995	-25.835104	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_branch_med/9.ogg	44100	2	1.082676	-26.503533	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/1.ogg	44100	2	0.863583	-21.463578	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/2.ogg	44100	2	2.076961	-20.842291	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/3.ogg	44100	2	2.404240	-21.380152	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/4.ogg	44100	2	2.908481	-20.989667	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/6.ogg	44100	1	2.953673	-25.097910	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/5.ogg	44100	1	3.742517	-24.446281	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/7.ogg	44100	1	2.602789	-21.734644	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/8.ogg	44100	1	3.184626	-27.829447	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows/9.ogg	44100	1	2.820000	-23.807250	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_forest/1.ogg	44100	1	7.160726	-11.648960	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_forest/2.ogg	44100	1	6.392857	-14.179574	OK
05:40:27	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_forest/3.ogg	44100	1	5.772313	-15.114621	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/10.ogg	44100	2	1.618322	-19.680052	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/1.ogg	44100	2	2.745057	-18.673573	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_forest/4.ogg	44100	1	6.687483	-11.765444	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_forest/5.ogg	44100	1	7.258889	-13.236303	OK
