pack	file	status
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_07.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_08.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_09.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_10.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_11.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_12.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_13.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_lightning_14.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_particle_wave.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_rumble.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/blowout_siren.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/cut/close.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/cut/closemedium.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/cut/far.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/cut/medium.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/cut/prettyfar.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/cut/veryfar.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout/psi_storm_siren.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_04.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_05.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_06.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_07.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_amb_08.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_ambient_rumble_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_ambient_rumble_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_ambient_rumble_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_ambient_rumble_04.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_begin.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_begin_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_bkgrnd.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_boom_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_boom_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_boom_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_flare_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_flare_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_flare_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_flare_04.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_impact.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_impact_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_04.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_05.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_06.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_07.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_08.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_09.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_10.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_11.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_12.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_13.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_lightning_14.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_outro.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_particle_wave.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_rumble.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_siren.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wave_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wave_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wave_02_short.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wave_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wave_03_short.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wave_04.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wind_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wind_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/blowout_wind_03.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/cut/close.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/cut/closemedium.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/cut/far.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/cut/medium.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/cut/prettyfar.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/cut/veryfar.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/earthquake.ogg	EMISSION-excluded
DarkSigWeather	ambient/blowout/psi_storm_siren.ogg	EMISSION-excluded
DarkSigWeather	ambient/cold_wind_11.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/cold_wind_12.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/darkwind1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/darkwind2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/earthquake.ogg	off-scope-or-dup
DarkSigWeather	ambient/fan_squeaks_1.ogg	off-scope-or-dup
DarkSigWeather	ambient/fire2.ogg	off-scope-or-dup
DarkSigWeather	ambient/howling_wind_11.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/howling_wind_12.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/howling_wind_u1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/iron_moaning1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lamp_squeaks_1.ogg	off-scope-or-dup
DarkSigWeather	ambient/lamp_squeaks_2.ogg	off-scope-or-dup
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_01.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_02.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_03.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_04.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_05.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_06.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_07.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/lar_suspense/suspense_08.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_ambients/pipe_moans_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_ambients/pipe_moans_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_ambients/pipe_moans_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_ambients/pipe_moans_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_air_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_air_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_air_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_air_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_air_5.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_air_6.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_bkg_wind_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_5.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_6.ogg	BASE-DUP-excluded
