category	sounds	source_folders(count)
structural	342	Amplified:ambient(1); Amplified:device(16); Amplified:device/old(3); AudioExpansion:ambient/trx/spooks_below/creaks(30); DarkSignal304:ambient(1); DeadAir:ambient(3); DeadAir:ambient/lar_ambients/lar_indoor(47); DeadAir:ambient/special(4); DeadAir:device(14); NLC:ambient(3); NLC:device(8); OGSE:ambient(1); OGSE:device(8); Prosector:ambient(3); Prosector:device(14); ShrikeInterior:slam(11); ShrikeInterior:wind_interior(21); ShrikeInterior:wind_interior/stereo(21); ShrikeInterior:wind_random(77); ShrikeInterior:wind_random/mono(75); ShrikeInterior:wind_random/stereo(75); ShrikeInterior:wind_strong(12); SoP:ambient/static(1); SoP:device/door(5); Solyanka:ambient(2); Solyanka:device(9); vanilla:ambient(3)
labs	675	Amplified:ambient/background(1); Amplified:ambient/lar_nature/metro_ambients(4); Amplified:ambient/lar_nature/metro_tunnels(16); Amplified:ambient/soundscape/background(2); Amplified:ambient/soundscape/background/Underground(7); Amplified:ambient/soundscape/underground(99); Amplified:ambient/soundscape/underground/spooks_below/ambient(12); Amplified:ambient/soundscape/underground/spooks_below/banging(7); Amplified:ambient/soundscape/underground/spooks_below/lab(6); Amplified:ambient/soundscape/underground/spooks_below/machine(12); Amplified:ambient/soundscape/underground/spooks_below/metal(14); Amplified:ambient/soundscape/underground/spooks_below/noise(28); Amplified:ambient/trx/background(1); Amplified:ambient/trx/spooks_below/ambient(12); Amplified:ambient/trx/spooks_below/background(2); Amplified:ambient/trx/spooks_below/lab(9); Amplified:ambient/ugrnd(16); Amplified:ambient/underground(6); Amplified:ambient/x16(13); Amplified:ambient/x18(3); AudioExpansion:ambient/soundscape/background(3); AudioExpansion:ambient/trx(3); AudioExpansion:ambient/trx/spooks_below/ambient(77); AudioExpansion:ambient/trx/spooks_below/banging(15); AudioExpansion:ambient/trx/spooks_below/lab(24); AudioExpansion:ambient/trx/spooks_below/lowchancerumble(1); AudioExpansion:ambient/trx/spooks_below/lowrumble(3); AudioExpansion:ambient/trx/spooks_below/machine(20); AudioExpansion:ambient/trx/spooks_below/metal(14); AudioExpansion:ambient/trx/spooks_below/noise(49); DarkSignal304:ambient/background(1); DarkSignal304:ambient/lar_nature/metro_ambients(4); DarkSignal304:ambient/lar_nature/metro_tunnels(16); DarkSignal304:ambient/soundscape/background(2); DarkSignal304:ambient/soundscape/background/Underground(3); DarkSignal304:ambient/soundscape/underground(32); DarkSignal304:ambient/soundscape/underground/spooks_below/ambient(12); DarkSignal304:ambient/soundscape/underground/spooks_below/banging(7); DarkSignal304:ambient/soundscape/underground/spooks_below/lab(6); DarkSignal304:ambient/soundscape/underground/spooks_below/machine(12); DarkSignal304:ambient/soundscape/underground/spooks_below/metal(14); DarkSignal304:ambient/soundscape/underground/spooks_below/noise(28); DarkSignal304:ambient/trx/background(1); DarkSignal304:ambient/trx/spooks_below/ambient(12); DarkSignal304:ambient/trx/spooks_below/background(2); DarkSignal304:ambient/trx/spooks_below/lab(9); DarkSignal304:ambient/ugrnd(16); DarkSignal304:ambient/underground(6); DarkSignal304:ambient/x16(13); DarkSignal304:ambient/x18(3); DeadAir:ambient/background(1); DeadAir:ambient/lar_ambients/metro_ambients(4); DeadAir:ambient/lar_ambients/metro_tunnels(26); DeadAir:ambient/lar_nature/metro_ambients(4); DeadAir:ambient/lar_nature/metro_tunnels(26); DeadAir:ambient/ugrnd(68); DeadAir:ambient/underground(30); DeadAir:ambient/x16(13); DeadAir:ambient/x18(38); NLC:ambient/background(1); NLC:ambient/inferno(1); NLC:ambient/ugrnd(65); NLC:ambient/underground(40); NLC:ambient/x16(13); NLC:ambient/x18(51); NLC:characters_voice/scenario/scared_stalker_underground(5); OGSE:ambient/underground(30); OGSE:ambient/x16(13); OGSE:ambient/x18(43); OGSE:characters_voice/scenario/pri(3); OGSE:characters_voice/scenario/scared_stalker_underground(5); Prosector:ambient/background(1); Prosector:ambient/underground(34); Prosector:ambient/x16(13); Prosector:ambient/x16/program(4); Prosector:ambient/x16/standart(4); Prosector:ambient/x18(50); Prosector:characters_voice/scenario/pri(3); Prosector:characters_voice/scenario/scared_stalker_underground(5); RETUNE457:ambient/soundscape/background(3); RETUNE457:ambient/soundscape/background/Underground(3); RETUNE457:ambient/soundscape/underground(35); RETUNE457:ambient/soundscape/underground/spooks_below/ambient(12); RETUNE457:ambient/soundscape/underground/spooks_below/banging(9); RETUNE457:ambient/soundscape/underground/spooks_below/lab(6); RETUNE457:ambient/soundscape/underground/spooks_below/machine(12); RETUNE457:ambient/soundscape/underground/spooks_below/metal(14); RETUNE457:ambient/soundscape/underground/spooks_below/noise(28); RETUNE457:ambient/trx/spooks_below/ambient(12); RETUNE457:ambient/trx/spooks_below/background(2); RETUNE457:ambient/trx/spooks_below/banging(7); RETUNE457:ambient/trx/spooks_below/lab(9); RETUNE457:ambient/trx/spooks_below/machine(12); RETUNE457:ambient/trx/spooks_below/metal(14); RETUNE457:ambient/trx/spooks_below/noise(28); RETUNE457:ambient/underground(1); Solyanka:ambient/ugrnd(65); Solyanka:ambient/underground(2); Solyanka:ambient/x16(15); Solyanka:ambient/x18(17); Solyanka:characters_voice/scenario/pri(3); Soundscape:ambient/soundscape/background(3); Soundscape:ambient/soundscape/background/Underground(3); Soundscape:ambient/soundscape/underground(32); Soundscape:ambient/soundscape/underground/spooks_below/ambient(12); Soundscape:ambient/soundscape/underground/spooks_below/banging(7); Soundscape:ambient/soundscape/underground/spooks_below/lab(6); Soundscape:ambient/soundscape/underground/spooks_below/machine(12); Soundscape:ambient/soundscape/underground/spooks_below/metal(14); Soundscape:ambient/soundscape/underground/spooks_below/noise(28); Soundscape:ambient/underground(1); myRETUNE:ambient/soundscape/background(3); myRETUNE:ambient/soundscape/background/Underground(3); myRETUNE:ambient/soundscape/underground(35); myRETUNE:ambient/soundscape/underground/spooks_below/ambient(12); myRETUNE:ambient/soundscape/underground/spooks_below/banging(9); myRETUNE:ambient/soundscape/underground/spooks_below/lab(6); myRETUNE:ambient/soundscape/underground/spooks_below/machine(12); myRETUNE:ambient/soundscape/underground/spooks_below/metal(14); myRETUNE:ambient/soundscape/underground/spooks_below/noise(28); myRETUNE:ambient/trx/spooks_below/ambient(12); myRETUNE:ambient/trx/spooks_below/background(2); myRETUNE:ambient/trx/spooks_below/banging(7); myRETUNE:ambient/trx/spooks_below/lab(9); myRETUNE:ambient/trx/spooks_below/machine(12); myRETUNE:ambient/trx/spooks_below/metal(14); myRETUNE:ambient/trx/spooks_below/noise(28); myRETUNE:ambient/underground(1); vanilla:ambient/background(1); vanilla:ambient/lar_nature/metro_ambients(4); vanilla:ambient/lar_nature/metro_tunnels(26); vanilla:ambient/trx/background(1); vanilla:ambient/trx/spooks_below/ambient(12); vanilla:ambient/trx/spooks_below/banging(7); vanilla:ambient/trx/spooks_below/lab(6); vanilla:ambient/trx/spooks_below/machine(12); vanilla:ambient/trx/spooks_below/metal(14); vanilla:ambient/trx/spooks_below/noise(28); vanilla:ambient/ugrnd(68); vanilla:ambient/underground(30); vanilla:ambient/x16(13); vanilla:ambient/x18(38)
drip	18	Amplified:ambient/soundscape/underground/spooks_below/water_drip(11); AudioExpansion:ambient/trx/spooks_below/water_drip(8); DarkSignal304:ambient/soundscape/underground/spooks_below/water_drip(11); RETUNE457:ambient/soundscape/underground/spooks_below/water_drip(11); RETUNE457:ambient/trx/spooks_below/water_drip(11); Soundscape:ambient/soundscape/underground/spooks_below/water_drip(11); myRETUNE:ambient/soundscape/underground/spooks_below/water_drip(11); myRETUNE:ambient/trx/spooks_below/water_drip(11); vanilla:ambient/trx/spooks_below/water_drip(11)
wind	115	Amplified:ambient(3); Amplified:ambient/soundscape/background/North(1); Amplified:ambient/soundscape/nature/wind_dark(6); Amplified:ambient/soundscape/nature/wind_heavy(4); Amplified:ambient/soundscape/wind(55); Amplified:ambient/trx/nature/wind_dark(6); Amplified:ambient/trx/nature/wind_heavy(4); AudioExpansion:ambient/soundscape/wind(7); AudioExpansion:ambient/trx/nature/wind_dark(5); AudioExpansion:ambient/trx/nature/wind_heavy(12); DarkSignal304:ambient(3); DarkSignal304:ambient/soundscape/wind(7); DarkSignal304:ambient/trx/nature/wind_dark(6); DarkSignal304:ambient/trx/nature/wind_heavy(4); DeadAir:ambient(3); DeadAir:ambient/lar_ambients/lar_wind_gust(6); DeadAir:ambient/lar_ambients/lar_wind_trees(6); DeadAir:ambient/lar_nature/lar_wind_gust(6); DeadAir:ambient/lar_nature/lar_wind_trees(6); NLC:ambient(3); OGSE:ambient(3); Prosector:ambient(3); RETUNE457:ambient/soundscape/wind(7); RETUNE457:ambient/trx/nature/wind_dark(6); RETUNE457:ambient/trx/nature/wind_heavy(6); Soundscape:ambient/soundscape/wind(7); myRETUNE:ambient/soundscape/wind(7); myRETUNE:ambient/trx/nature/wind_dark(6); myRETUNE:ambient/trx/nature/wind_heavy(6); vanilla:ambient(3); vanilla:ambient/lar_nature/lar_wind_gust(6); vanilla:ambient/lar_nature/lar_wind_trees(6); vanilla:ambient/trx/nature/wind_dark(6); vanilla:ambient/trx/nature/wind_heavy(4)
foliage	135	Amplified:ambient/soundscape/foliage(110); AudioExpansion:ambient/trx/nature/rustle(11); DeadAir:ambient/lar_ambients/lar_tree(10); DeadAir:ambient/lar_nature/lar_tree(10); SoP:material/step/rustle(4); vanilla:ambient/lar_nature/lar_tree(10)
wildlife	390	Amplified:ambient/soundscape/crows(27); Amplified:ambient/soundscape/mutants/wolf(10); Amplified:monsters/mwolf(7); AudioExpansion:ambient/trx/nature/crow(78); AudioExpansion:ambient/trx/nature/dog(60); AudioExpansion:ambient/trx/nature/owl(14); AudioExpansion:ambient/trx/nature/owl/bak(14); DSMutants:monsters/mwolf(7); DarkSignal304:ambient/soundscape/mutants/wolf(8); DeadAir:ambient(2); DeadAir:ambient/lar_ambients/lar_crow(13); DeadAir:ambient/lar_ambients/lar_dog(11); DeadAir:ambient/lar_ambients/lar_frog(7); DeadAir:ambient/lar_ambients/lar_wolf(7); DeadAir:ambient/lar_nature/lar_crow(13); DeadAir:ambient/lar_nature/lar_dog(11); DeadAir:ambient/lar_nature/lar_frog(7); DeadAir:ambient/lar_nature/lar_howled(4); DeadAir:ambient/lar_nature/lar_owls(10); DeadAir:ambient/lar_nature/lar_pigeon(8); DeadAir:ambient/lar_nature/lar_wolf(7); DeadAir:ambient/rnd_outdoor(6); NLC:ambient(2); NLC:ambient/random(2); NLC:ambient/rnd_outdoor(9); NLC:characters_voice/scenario/wolf(2); OGSE:ambient(2); OGSE:ambient/random(2); OGSE:ambient/rnd_outdoor(4); OGSE:characters_voice/scenario(1); OGSE:characters_voice/scenario/wolf(2); Prosector:ambient(2); Prosector:ambient/random(2); Prosector:ambient/rnd_outdoor(9); RETUNE457:ambient/soundscape/mutants/wolf(8); RETUNE457:ambient/trx/nature/crow(26); RETUNE457:ambient/trx/nature/dog(23); RETUNE457:ambient/trx/nature/owl(19); RealDistantMutants:ambient/soundscape/mutants/wolf(10); SoP:ambient/rnd_outdoor(2); Soundscape:ambient/soundscape/mutants/wolf(8); Soundscape:monsters/mwolf(7); myRETUNE:ambient/soundscape/mutants/wolf(8); myRETUNE:ambient/trx/nature/crow(26); myRETUNE:ambient/trx/nature/dog(24); myRETUNE:ambient/trx/nature/owl(19); vanilla:ambient(2); vanilla:ambient/lar_nature/lar_crow(13); vanilla:ambient/lar_nature/lar_dog(11); vanilla:ambient/lar_nature/lar_frog(7); vanilla:ambient/lar_nature/lar_howled(4); vanilla:ambient/lar_nature/lar_owls(10); vanilla:ambient/lar_nature/lar_pigeon(8); vanilla:ambient/lar_nature/lar_wolf(7); vanilla:ambient/rnd_outdoor(6); vanilla:ambient/trx/nature/crow(22); vanilla:ambient/trx/nature/dog(23); vanilla:ambient/trx/nature/owl(8)
urban	191	Amplified:ambient/soundscape/Spoops/urban_spoops_night(66); Amplified:ambient/soundscape/urban(89); Amplified:ambient/soundscape/urban_debris(10); AudioExpansion:ambient/soundscape/urban(27); DarkSignal304:ambient/soundscape/urban(27); RETUNE457:ambient/soundscape/urban(27); Soundscape:ambient/soundscape/urban(27); myRETUNE:ambient/soundscape/urban(27)
gunfire	100	Amplified:ambient/soundscape/underground/spooks_above/shooting(37); Amplified:ambient/trx/spooks_above/shooting(37); AudioExpansion:ambient/trx/spooks_above/shooting(37); DarkSignal304:ambient/soundscape/underground/spooks_above/shooting(37); DarkSignal304:ambient/trx/spooks_above/shooting(37); DeadAir:ambient/rnd_outdoor(19); NLC:ambient/random(1); NLC:ambient/rnd_outdoor(10); OGSE:ambient/random(1); OGSE:ambient/rnd_outdoor(10); Prosector:ambient/random(1); Prosector:ambient/rnd_outdoor(10); RETUNE457:ambient/soundscape/underground/spooks_above/shooting(37); RETUNE457:ambient/trx/spooks_above/shooting(37); SoP:ambient/rnd_outdoor(1); Solyanka:ambient/rnd_outdoor(28); Soundscape:ambient/soundscape/underground/spooks_above/shooting(37); Soundscape:ambient/trx/spooks_above/shooting(37); myRETUNE:ambient/soundscape/underground/spooks_above/shooting(37); myRETUNE:ambient/trx/spooks_above/shooting(37); vanilla:ambient/rnd_outdoor(19); vanilla:ambient/trx/spooks_above/shooting(37)
rats	11	Amplified:ambient/soundscape/underground/spooks_below/rats(7); AudioExpansion:ambient/trx/spooks_below/rats(4); DarkSignal304:ambient/soundscape/underground/spooks_below/rats(7); RETUNE457:ambient/soundscape/underground/spooks_below/rats(7); RETUNE457:ambient/trx/spooks_below/rats(7); Soundscape:ambient/soundscape/underground/spooks_below/rats(7); myRETUNE:ambient/soundscape/underground/spooks_below/rats(7); myRETUNE:ambient/trx/spooks_below/rats(7); vanilla:ambient/trx/spooks_below/rats(7)
bats	12	AudioExpansion:ambient/trx/nature/bats(6); AudioExpansion:ambient/trx/spooks_below/bats(6)
