deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\dark_signal\all\walkie_talkie_k18_ae7d711177	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k18	1.0
zs\dark_signal\all\walkie_talkie_k19_c747cc1bb0	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k19	1.0
zs\dark_signal\all\walkie_talkie_k2_03187f7007	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k2	1.0
zs\dark_signal\all\walkie_talkie_k3_98d72f3c3d	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k3	1.0
zs\dark_signal\all\walkie_talkie_k4_ed9a62e007	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k4	1.0
zs\dark_signal\all\walkie_talkie_k5_20e3dd3d6e	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k5	1.0
zs\dark_signal\all\walkie_talkie_k6_035b4667e1	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k6	1.0
zs\dark_signal\all\walkie_talkie_k7_cb4c09eb34	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k7	1.0
zs\dark_signal\all\walkie_talkie_k8_d96e7b0daa	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k8	1.0
zs\dark_signal\all\walkie_talkie_k9_42dd71b533	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_k9	1.0
zs\dark_signal\all\walkie_talkie_m2_764010e027	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_m2	1.0
zs\dark_signal\all\walkie_talkie_m3_27e0e2e6b8	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_m3	1.0
zs\dark_signal\all\walkie_talkie_m4_84382d6a80	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_m4	1.0
zs\dark_signal\all\walkie_talkie_m5_45b1fa9122	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_m5	1.0
zs\dark_signal\all\walkie_talkie_m6_7108722ecd	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_m6	1.0
zs\dark_signal\all\walkie_talkie_m9_bfb82e7601	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_m9	1.0
zs\dark_signal\all\walkie_talkie_signal1_3b094452c2	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal1	1.0
zs\dark_signal\all\walkie_talkie_signal10_9f6fe7f148	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal10	1.0
zs\dark_signal\all\walkie_talkie_signal11_922b7dbd51	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal11	1.0
zs\dark_signal\all\walkie_talkie_signal12_cd8563f472	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal12	1.0
zs\dark_signal\all\walkie_talkie_signal13_268507f4fc	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal13	1.0
zs\dark_signal\all\walkie_talkie_signal2_c389ed2a4e	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal2	1.0
zs\dark_signal\all\walkie_talkie_signal3_d4a980f7ba	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal3	1.0
zs\dark_signal\all\walkie_talkie_signal4_9849fdf495	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal4	1.0
zs\dark_signal\all\walkie_talkie_signal5_df607f9d6d	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal5	1.0
